headline,category,short_description
Gov. Brian Kemp Fights Subpoena In Georgia Election Probe,POLITICS,The judge is presiding over a special grand jury that’s investigating possible illegal attempts to influence the 2020 election in Georgia.
Japan’s National Police Chief To Resign Over Shinzo Abe Assassination,WORLD NEWS,National Police Agency Chief Itaru Nakamura's announcement came as his agency released a report on how it failed to protect Abe's life on July 8.
"Uvalde Victims' Families, Survivors Plan Multi-Billion Dollar Lawsuit",U.S. NEWS,The lawsuit looks to name law enforcement agencies and the shop where the accused shooter bought the gun used in the Uvalde shooting.
"Dan Goldman, Narrowly Leading In New York Democratic Primary, Declares Victory",POLITICS,"But the congressional race has not been officially called, and rival Yuh-Line Niou declined to concede."
Markwayne Mullin Wins Oklahoma Republican Primary To Succeed GOP Sen. Jim Inhofe,POLITICS,The five-term House member is known as a staunch President Biden critic and loyal Donald Trump supporter.
Charlie Crist Wins Chance To Take On Florida Gov. Ron DeSantis And His $132 Million,POLITICS,Crist is making his second run for governor as a Democrat after having served one term in the job as a Republican more than a decade ago.
IRS Launches Safety Review Amid Threats To Workers Linked To Conspiracy Theories,POLITICS,The Internal Revenue Service says it is conducting a comprehensive review of safety at its facilities.
Student Loan Borrowers Await Biden Plan On Debt Forgiveness,POLITICS,"If Biden's plan survives legal challenges that are almost certain to come, it could offer a windfall to a swath of the nation in the run-up to this fall's midterm elections."
'House Of The Dragon' Is Already Ratings King After Most-Watched HBO Premiere Ever,ENTERTAINMENT,"The ""Game of Thrones"" spinoff pulled in the largest audience for an original series premiere in HBO's history."
Former Louisville Cop Pleads Guilty In Breonna Taylor Case,U.S. NEWS,A former Louisville police detective who helped falsify the warrant that led to the deadly police raid at Taylor’s apartment has pleaded guilty to a federal charge.
"Jerry Allison, Buddy Holly's Drummer, Dead At 82",ENTERTAINMENT,The Rock & Roll Hall of Fame member also co-wrote classic songs like “That’ll Be the Day” and “Peggy Sue.”
Andrew Garfield Confirms Method Acting Is Possible Without 'Being An Asshole',ENTERTAINMENT,The actor revealed he abstained from sex for months and starved himself to prepare for a role.
Rusty Bowers Rips 'Fascism' Of GOP And Trump's Strong-Arm Tactics To Trash Vote,POLITICS,"""I haven’t been hanged yet,"" the Arizona GOP leader told The Guardian in a powerful interview. ""But holy moly, this is just crazy. The place has lost its mind.”"
"After Delay, Biden Readies Student Loan Help, Payment Pause",POLITICS,The precise details of President Joe Biden’s plan were being kept to an unusually small circle within the Biden administration.
This Is The Bittersweet Part Of Democrats' Sweet Legislative Victory,POLITICS,"Democrats were on the cusp of transforming paid leave, child care and home care. Now they're figuring out where they came up short — and when they might get the opportunity to try again."
UK Broadcaster To Air Satirical Musical On Prince Andrew,WORLD NEWS,The 60-minute program described as a “satirical send-up of the life and times” of the duke set to a musical score.
Teachers In Ohio's Largest School District Go On Strike,POLITICS,Classes are scheduled to resume in just two days.
"Ukraine: 9,000 Of Its Troops Killed Since Russia Began War",WORLD NEWS,The Russian invasion of Ukraine began on Feb. 24.
"Gas Prices Are Falling, But Global Events Could Cause Increase, Energy Secretary Warns",POLITICS,Jennifer Granholm said the U.S. will produce a record amount of oil next year.
Police File Terrorism Charges Against Pakistan's Ex-Premier Imran Khan,WORLD NEWS,The charges accuse Khan of threatening police officers and a judge under the country’s sedition act.
Minneapolis Teacher Contract Race Language Ignites Firestorm,EDUCATION,"When Minneapolis teachers settled a 14-day strike earlier this year, they celebrated a groundbreaking provision in their new contract that was meant to shield teachers of color from traditional seniority-based layoffs."
Hawaii Seeking End To Conflict Over Astronomy On Sacred Mountain,U.S. NEWS,Native Hawaiians will now have more say over use of sacred Mauna Kea summit by scientists.
Metal-Detecting Stranger Retrieves Woman’s Ring Lost In Sea,U.S. NEWS,"Francesca Teal's plea for help on Facebook got the attention of a local man who spent more than two days searching the water with a wetsuit, headlamp and metal detector."
"Leon Vitali, Stanley Kubrick’s Right-Hand Man, Dies At 74",ENTERTAINMENT,"Leon Vitali, the “Barry Lyndon” actor who became one of Stanley Kubrick’s closest associates, has died."
‘Dragon Ball Super’ Bests ‘Beast’ At Box Office With $20.1M,ENTERTAINMENT,"Idris Elba may go head-to-head with a lion in “Beast,” but the action flick was no match for the latest “Dragon Ball” movie."
Defense In Parkland School Shooter’s Trial Set To Present Its Case,U.S. NEWS,Nikolas Cruz's attorneys on Monday will present why the 23-year-old carried out the attack and make a case for life in prison instead of death.
"Judge Won't Block Georgia Ban On Bringing Food, Water To Voters In Line",POLITICS,Voting rights groups are dismayed about a ruling that upholds a ban on giving drinks and snacks to people waiting to vote.
"Trans Woman Can't Be Considered Parent Of Her Own Child, Rules Tokyo Court",WORLD NEWS,The court said the woman is the legal parent of a daughter born before her transition but not one who was born afterward.
"Dorli Rainey, Symbol Of Occupy Movement, Dies At 95",U.S. NEWS,"The Seattle activist turned out for racial justice, affordable housing and anti-war demonstrations over the years."
Mike Pence Says He Did Not Take Classified Documents When He Left Office,POLITICS,The former vice president made the disclosure after FBI agents seized classified and top secret documents from Donald Trump's Florida home.
Wendy's Pulls Lettuce From Sandwiches After Dozens Fall Sick From E. Coli,U.S. NEWS,"The fast-food chain Wendy’s says it is pulling lettuce from sandwiches in its restaurants in Michigan, Ohio and Pennsylvania after people eating them there reported falling ill."
Shocking Drone Video Shows Alligator Attacking Florida Man,U.S. NEWS,The gator's bite was enough to crush a portion of the man's skull and break his jaw.
How To Tell If Your Chest Pain Is A Heart Problem,WELLNESS,Concerned your chest pain might be heart-related? Look for these signs to know what you're dealing with — and whether you need reach out to your doctor ASAP.
Mitch McConnell Gives Downbeat Forecast On GOP Winning Senate,POLITICS,"The Senate GOP leader cited ""candidate quality"" as a factor in whether Republicans can win control in the November election."
Vanessa Bryant Says Kobe Bryant Crash Photos Turned Grief To Horror,SPORTS,"Bryant's widow testified that she ""lives in fear every day"" that the photos of her husband's death will pop up on social media."
Rapper Young Thug Again Denied Bond In Racketeering And Gang Case,ENTERTAINMENT,"Young Thug, along with rapper Gunna, are one of dozens of men charged in a Georgia racketeering and gang case."
Media To Ask Judge To Release Trump Search Warrant Affidavit,POLITICS,"""The matter is one of utmost public interest, involving the actions of current and former government officials,” wrote an attorney some of the media companies."
State Dept. 'Studying' 34-Year Sentence Of Saudi Woman Over Twitter Use,WORLD NEWS,Salma al-Shehab received the lengthy prison sentence for following accounts and retweeting posts critical of the Kingdom on Twitter.
"LGBTQ Pride Events Will Have Priority Access To Monkeypox Vaccines, Health Officials Say",U.S. NEWS,"An extra 50,000 vaccine doses will be made available in cities like Atlanta and New Orleans, where Pride celebrations are scheduled later this year."
"Trump Org. CFO To Plead Guilty, Testify Against Company",CRIME,Allen Weisselberg is charged with taking more than $1.7 million in off-the-books compensation from the Trump Organization over several years.
Deshaun Watson Settles With NFL For 11-Game Suspension,SPORTS,The Cleveland Browns quarterback was accused of sexual misconduct by two dozen women while he played for the Houston Texans.
'Mike' And The Flawed Allure Of Authorized Biopics,CULTURE & ARTS,Celebrity-endorsed biographies have long been considered the gold standard — but that doesn’t take into consideration how curated they can be.
Talks On Possible Watson Settlement Progress,SPORTS,Two people familiar with the negotiations tell the AP that talks between the NFL and NFL Players Association on a discipline settlement for Cleveland Browns quarterback Deshaun Watson have progressed.
CDC Director To Overhaul Agency With COVID Shortcomings In Mind,POLITICS,"Rochelle Walensky announced a ""reset"" for the organization amid public criticisms over its response to the coronavirus and monkeypox."
"General Motors Recalls Over 484,000 Vehicles Over 'Improperly'-Formed Seat Belts",U.S. NEWS,The automaker said it isn't aware of any crashes or injuries as a result of the seat belts.
Planned Parenthood To Spend Record $50 Million For Midterms,POLITICS,The nation's leading reproductive health care provider is pouring money into contests where access to abortion will be on the ballot.
"Former California Congressman Charged After 'Multiple Fraud Schemes,' Feds Say",U.S. NEWS,"Terrance ""T.J."" Cox, a Democrat, represented the 21st Congressional District from January 2019 to January 2021."
Syria Denies It Is Holding American Journalist Austin Tice,WORLD NEWS,"President Joe Biden accused the Syrian government of detaining Austin Tice, who has been missing for 10 years."
NBA Won't Host Election Day Games In Effort To Increase Voter Turnout,POLITICS,"For many Americans living in states with strict voter suppression laws, Election Day is their only chance to cast a ballot."
Dog Catches Monkeypox In France In First Suspected Human-To-Pet Transmission,U.S. NEWS,"“Our findings should prompt debate on the need to isolate pets from monkeypox virus-positive individuals,” researchers wrote."
The Denver Broncos’ Historic Purchase Could Increase Number Of Minority-Owned NFL Teams,SPORTS,"Broncos quarterback Russell Wilson said the new ownership group, which includes two Black women, was a major move for diversity in the NFL."
